cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
1,0,1065,3072,0,normal,5384,0.594175,0.000000,0.000000,0.000000,0.000000,0.000000,0.055541,0.989956,0.278700,0,0,0,4370
2,1,5430,99328,96256,normal,16537,0.589188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.476672,0.103894,1,1,0,247
3,2,5790,107264,7936,normal,7936,0.585568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.192281,0.038175,1,1,0,249
4,3,6057,113152,5888,normal,5888,0.586007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190289,0.036710,1,1,0,248
5,4,6429,121344,8192,normal,8192,0.590771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.216348,0.049420,1,1,0,249
6,5,6789,129280,7936,normal,7936,0.594346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.687150,0.160056,1,1,0,249
7,6,7056,135168,5888,normal,5888,0.593906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.773079,0.182752,1,1,0,247
8,7,7427,143360,8192,normal,8192,0.588916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.256029,0.047152,1,1,0,249
9,8,7787,151296,7936,normal,7936,0.585285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.290214,0.065312,1,1,0,250
10,9,8054,157184,5888,normal,5888,0.585757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800302,0.174532,1,1,0,248
11,10,8298,162560,5376,normal,5376,0.588749,0.000000,0.000000,0.000000,0.000000,0.000000,0.167643,1.000000,0.242148,1,1,0,243
12,11,8565,168448,5888,normal,5888,0.592845,0.000000,0.000000,0.000000,0.000000,0.000000,0.519560,1.000000,0.116373,1,1,0,248
13,12,8925,176384,7936,normal,7936,0.594721,0.000000,0.000000,0.000000,0.000000,0.000000,0.229275,1.000000,0.231249,1,1,0,250
14,13,9296,184576,8192,normal,8192,0.591060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822550,0.187738,1,1,0,249
15,14,9563,190464,5888,normal,5888,0.587548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.299554,0.065621,1,1,0,247
16,15,9923,198400,7936,normal,7936,0.585156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262884,0.051569,1,1,0,249
17,16,10295,206592,8192,normal,8192,0.588525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234950,0.046526,1,1,0,248
18,17,10562,212480,5888,normal,5888,0.592414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.656594,0.128466,1,1,0,247
19,18,10922,220416,7936,normal,7936,0.594561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970462,0.231486,1,1,0,249
20,19,11293,228608,8192,normal,8192,0.591032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.544234,0.114782,1,1,0,248
21,20,11560,234496,5888,normal,5888,0.587170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.377092,0.065378,1,1,0,246
22,21,11932,242688,8192,normal,8192,0.585275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.778756,0.177095,1,1,0,249
23,22,12292,250624,7936,normal,7936,0.588850,0.000000,0.000000,0.000000,0.000000,0.000000,0.274568,1.000000,0.219383,1,1,0,250
24,23,12559,256512,5888,normal,5888,0.592804,0.000000,0.000000,0.000000,0.000000,0.000000,0.512538,1.000000,0.120807,1,1,0,247
25,24,12930,264704,8192,normal,8192,0.594901,0.000000,0.000000,0.000000,0.000000,0.000000,0.245977,1.000000,0.214426,1,1,0,249
26,25,13290,272640,7936,normal,7936,0.591264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.713836,0.164255,1,1,0,249
27,26,13557,278528,5888,normal,5888,0.587377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270567,0.060790,1,1,0,247
28,27,13925,286630,8102,normal,8102,0.585166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252418,0.051303,1,1,0,249
29,28,14288,294642,8012,normal,8012,0.588410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247582,0.050590,1,1,0,248
30,29,14561,300666,6024,normal,6024,0.592365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.668102,0.124438,1,1,0,248
31,30,14925,308678,8012,normal,8012,0.594421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.975634,0.215890,1,1,0,250
32,31,15288,316690,8012,normal,8012,0.591072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.539052,0.112702,1,1,0,250
33,32,15561,322714,6024,normal,6024,0.587016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322163,0.055043,1,1,0,246
34,33,15924,330726,8012,normal,8012,0.585090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.819013,0.183424,1,1,0,249
35,34,16299,338994,8268,normal,8268,0.588739,0.000000,0.000000,0.000000,0.000000,0.000000,0.379196,1.000000,0.177249,1,1,0,251
36,35,16561,344762,5768,normal,5768,0.592606,0.000000,0.000000,0.000000,0.000000,0.000000,0.469902,1.000000,0.151332,1,1,0,246
37,36,16924,352774,8012,normal,8012,0.594780,0.000000,0.000000,0.000000,0.000000,0.000000,0.250908,1.000000,0.214459,1,1,0,248
38,37,17299,361042,8268,normal,8268,0.591304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740672,0.173523,1,1,0,249
39,38,17561,366810,5768,normal,5768,0.587216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261561,0.059635,1,1,0,247
40,39,17924,374822,8012,normal,8012,0.585030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289294,0.057271,1,1,0,249
41,40,18299,383090,8268,normal,8268,0.588869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269688,0.059744,1,1,0,249
42,41,18561,388858,5768,normal,5768,0.592255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.759182,0.137288,1,1,0,246
43,42,18924,396870,8012,normal,8012,0.594438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992241,0.228301,1,1,0,249
44,43,19299,405138,8268,normal,8268,0.590778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439616,0.093778,1,1,0,249
45,44,19561,410906,5768,normal,5768,0.587153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267505,0.044625,1,1,0,247
46,45,19924,418918,8012,normal,8012,0.585228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.660621,0.146852,1,1,0,249
47,46,20287,426930,8012,normal,8012,0.588825,0.000000,0.000000,0.000000,0.000000,0.000000,0.308646,1.000000,0.197705,1,1,0,249
48,47,20561,432954,6024,normal,6024,0.592603,0.000000,0.000000,0.000000,0.000000,0.000000,0.469656,1.000000,0.144392,1,1,0,247
49,48,20924,440966,8012,normal,8012,0.594778,0.000000,0.000000,0.000000,0.000000,0.000000,0.261640,1.000000,0.206828,1,1,0,249
50,49,21287,448978,8012,normal,8012,0.591191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.786447,0.190306,1,1,0,249
51,50,21561,455002,6024,normal,6024,0.587064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315849,0.068417,1,1,0,248
52,51,21924,463014,8012,normal,8012,0.585097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280909,0.055562,1,1,0,249
53,52,22287,471026,8012,normal,8012,0.588332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258143,0.056427,1,1,0,250
54,53,22560,477050,6024,normal,6024,0.592152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.698147,0.130640,1,1,0,247
55,54,22924,485062,8012,normal,8012,0.594438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.996405,0.240296,1,1,0,249
56,55,23287,493074,8012,normal,8012,0.591138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526967,0.117765,1,1,0,248
57,56,23560,499098,6024,normal,6024,0.587156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.259287,0.046455,1,1,0,248
58,57,23924,507110,8012,normal,8012,0.585322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.565360,0.122980,1,1,0,249
59,58,24287,515122,8012,normal,8012,0.588803,0.000000,0.000000,0.000000,0.000000,0.000000,0.310415,1.000000,0.201135,1,1,0,248
60,59,24560,521146,6024,normal,6024,0.592609,0.000000,0.000000,0.000000,0.000000,0.000000,0.494090,1.000000,0.132302,1,1,0,247
61,60,24924,529158,8012,normal,8012,0.594783,0.000000,0.000000,0.000000,0.000000,0.000000,0.252927,1.000000,0.214660,1,1,0,250
62,61,25287,537170,8012,normal,8012,0.591183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.796335,0.196567,1,1,0,250
63,62,25560,543194,6024,normal,6024,0.587161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.405814,0.092498,1,1,0,246
64,63,25924,551206,8012,normal,8012,0.585107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271971,0.050285,1,1,0,249
65,64,26287,559218,8012,normal,8012,0.588332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248406,0.054902,1,1,0,249
66,65,26560,565242,6024,normal,6024,0.592264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.689655,0.131736,1,1,0,246
67,66,26923,573254,8012,normal,8012,0.594457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992312,0.226458,1,1,0,249
68,67,27298,581522,8268,normal,8268,0.590816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673568,0.144764,1,1,0,249
69,68,27560,587290,5768,normal,5768,0.587207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.274786,0.054997,1,1,0,248
70,69,27923,595302,8012,normal,8012,0.585324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599421,0.127472,1,1,0,248
71,70,28298,603570,8268,normal,8268,0.588793,0.000000,0.000000,0.000000,0.000000,0.000000,0.292367,1.000000,0.205367,1,1,0,250
72,71,28560,609338,5768,normal,5768,0.592655,0.000000,0.000000,0.000000,0.000000,0.000000,0.483858,1.000000,0.136294,1,1,0,247
73,72,28923,617350,8012,normal,8012,0.594805,0.000000,0.000000,0.000000,0.000000,0.000000,0.264543,1.000000,0.208843,1,1,0,249
74,73,29298,625618,8268,normal,8268,0.591172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.969142,0.261208,1,1,0,248
75,74,29560,631386,5768,normal,5768,0.587209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407220,0.084854,1,1,0,248
76,75,29923,639398,8012,normal,8012,0.585160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305225,0.057699,1,1,0,250
77,76,30298,647666,8268,normal,8268,0.588691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228562,0.047932,1,1,0,250
78,77,30560,653434,5768,normal,5768,0.592281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673084,0.131643,1,1,0,245
79,78,30923,661446,8012,normal,8012,0.594460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990374,0.235025,1,1,0,249
80,79,31298,669714,8268,normal,8268,0.590807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.628004,0.126388,1,1,0,249
81,80,31560,675482,5768,normal,5768,0.587150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254252,0.051777,1,1,0,247
82,81,31923,683494,8012,normal,8012,0.585305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653889,0.128820,1,1,0,249
83,82,32298,691762,8268,normal,8268,0.588774,0.000000,0.000000,0.000000,0.000000,0.000000,0.327911,1.000000,0.199686,1,1,0,249
84,83,32560,697530,5768,normal,5768,0.592630,0.000000,0.000000,0.000000,0.000000,0.000000,0.492477,1.000000,0.133375,1,1,0,244
85,84,32923,705542,8012,normal,8012,0.594810,0.000000,0.000000,0.000000,0.000000,0.000000,0.245381,1.000000,0.216381,1,1,0,250
86,85,33298,713810,8268,normal,8268,0.591164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.865697,0.219775,1,1,0,248
87,86,33560,719578,5768,normal,5768,0.587332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382870,0.077607,1,1,0,247
88,87,33923,727590,8012,normal,8012,0.585106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333445,0.063893,1,1,0,250
89,88,34298,735858,8268,normal,8268,0.588655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236540,0.050644,1,1,0,248
90,89,34559,741626,5768,normal,5768,0.592375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.645185,0.125650,1,1,0,247
91,90,34923,749638,8012,normal,8012,0.594495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.986971,0.244138,1,1,0,250
92,91,35298,757906,8268,normal,8268,0.590766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.597971,0.120982,1,1,0,249
93,92,35559,763674,5768,normal,5768,0.587203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278374,0.053781,1,1,0,247
94,93,35923,771686,8012,normal,8012,0.585442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.706217,0.143985,1,1,0,249
95,94,36298,779954,8268,normal,8268,0.588676,0.000000,0.000000,0.000000,0.000000,0.000000,0.334266,1.000000,0.200399,1,1,0,248
96,95,36559,785722,5768,normal,5768,0.592718,0.000000,0.000000,0.000000,0.000000,0.000000,0.482831,1.000000,0.128016,1,1,0,247
97,96,36923,793734,8012,normal,8012,0.594816,0.000000,0.000000,0.000000,0.000000,0.000000,0.249366,1.000000,0.221505,1,1,0,249
98,97,37298,802002,8268,normal,8268,0.591140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.807439,0.182006,1,1,0,248
99,98,37559,807770,5768,normal,5768,0.587333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333725,0.069158,1,1,0,247
100,99,37922,815782,8012,normal,8012,0.585027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344844,0.068926,1,1,0,249
101,100,38297,824050,8268,normal,8268,0.588558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278111,0.060921,1,1,0,249
102,101,38559,829818,5768,normal,5768,0.592365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.643077,0.132246,1,1,0,247
103,102,38922,837830,8012,normal,8012,0.594502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990686,0.263035,1,1,0,249
104,103,39297,846098,8268,normal,8268,0.590820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.465737,0.098500,1,1,0,249
105,104,39559,851866,5768,normal,5768,0.587373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323295,0.056979,1,1,0,247
106,105,39922,859878,8012,normal,8012,0.585503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.707072,0.154601,1,1,0,249
107,106,40297,868146,8268,normal,8268,0.588750,0.000000,0.000000,0.000000,0.000000,0.000000,0.303082,1.000000,0.207866,1,1,0,250
108,107,40559,873914,5768,normal,5768,0.592791,0.000000,0.000000,0.000000,0.000000,0.000000,0.515479,1.000000,0.113765,1,1,0,247
109,108,40922,881926,8012,normal,8012,0.594780,0.000000,0.000000,0.000000,0.000000,0.000000,0.238894,1.000000,0.225039,1,1,0,249
110,109,41297,890194,8268,normal,8268,0.591000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.735947,0.162314,1,1,0,248
111,110,41559,895962,5768,normal,5768,0.587313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289541,0.066360,1,1,0,247
112,111,41922,903974,8012,normal,8012,0.585020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.279328,0.056130,1,1,0,249
113,112,42297,912242,8268,normal,8268,0.588379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.297515,0.063282,1,1,0,251
114,113,42559,918010,5768,normal,5768,0.592334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.665473,0.132358,1,1,0,246
115,114,42922,926022,8012,normal,8012,0.594528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985025,0.235438,1,1,0,249
116,115,43297,934290,8268,normal,8268,0.590820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571803,0.122767,1,1,0,250
117,116,43559,940058,5768,normal,5768,0.587522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336014,0.055828,1,1,0,246
