1786275111.095,0.000
1786275111.159,28.000
1786275111.222,13.000
1786275111.285,12.000
1786275111.346,13.000
1786275111.409,12.000
1786275111.472,13.000
1786275111.535,12.000
1786275111.597,13.000
1786275111.660,12.000
1786275111.723,13.000
1786275111.785,12.000
1786275111.848,13.000
1786275111.910,12.000
1786275111.972,13.000
1786275112.033,12.000
1786275112.094,0.000
1786275112.158,28.000
1786275112.221,13.000
1786275112.284,12.000
1786275112.346,13.000
1786275112.409,12.000
1786275112.471,13.000
1786275112.534,12.000
1786275112.596,13.000
1786275112.658,12.000
1786275112.720,13.000
1786275112.782,0.000
1786275112.845,12.000
1786275112.907,28.000
1786275112.970,0.000
1786275113.031,13.000
1786275113.094,12.000
1786275113.156,13.000
1786275113.218,12.000
1786275113.279,13.000
1786275113.342,12.000
1786275113.405,13.000
1786275113.467,12.000
1786275113.531,13.000
1786275113.593,12.000
1786275113.657,13.000
1786275113.719,12.000
1786275113.781,13.000
1786275113.844,12.000
1786275113.907,13.000
1786275113.970,28.000
1786275114.033,12.000
1786275114.097,13.000
1786275114.159,12.000
1786275114.222,13.000
1786275114.285,12.000
1786275114.349,13.000
1786275114.413,12.000
1786275114.476,13.000
1786275114.539,12.000
1786275114.601,13.000
1786275114.664,12.000
1786275114.727,13.000
1786275114.789,12.000
1786275114.851,13.000
1786275114.913,12.000
1786275114.977,13.000
1786275115.043,12.000
1786275115.104,13.000
1786275115.167,12.000
1786275115.230,13.000
1786275115.293,12.000
1786275115.355,13.000
1786275115.419,12.000
1786275115.480,13.000
1786275115.543,12.000
1786275115.605,13.000
1786275115.667,12.000
1786275115.728,13.000
1786275115.791,12.000
1786275115.853,13.000
1786275115.915,12.000
1786275115.978,13.000
1786275116.040,12.000
1786275116.102,13.000
1786275116.165,12.000
1786275116.227,13.000
1786275116.290,12.000
1786275116.353,13.000
1786275116.415,12.000
1786275116.477,13.000
1786275116.540,12.000
1786275116.603,13.000
1786275116.665,12.000
1786275116.728,13.000
1786275116.791,12.000
1786275116.854,13.000
1786275116.917,12.000
1786275116.980,13.000
1786275117.041,12.000
1786275117.102,13.000
1786275117.163,12.000
1786275117.227,13.000
1786275117.291,12.000
1786275117.355,13.000
1786275117.419,12.000
1786275117.483,13.000
1786275117.546,12.000
1786275117.608,13.000
1786275117.671,12.000
1786275117.735,13.000
1786275117.798,28.000
1786275117.861,13.000
1786275117.924,12.000
1786275117.988,13.000
1786275118.052,12.000
1786275118.116,13.000
1786275118.178,12.000
1786275118.241,13.000
1786275118.304,12.000
1786275118.367,13.000
1786275118.430,12.000
1786275118.494,13.000
1786275118.558,12.000
1786275118.620,13.000
1786275118.682,12.000
1786275118.744,13.000
1786275118.805,12.000
1786275118.869,13.000
1786275118.933,12.000
1786275118.997,13.000
1786275119.060,12.000
1786275119.124,13.000
1786275119.188,12.000
1786275119.252,28.000
1786275119.315,13.000
1786275119.377,12.000
1786275119.441,13.000
1786275119.505,12.000
1786275119.566,13.000
1786275119.630,12.000
1786275119.693,13.000
1786275119.756,12.000
1786275119.818,13.000
1786275119.880,12.000
1786275119.943,13.000
1786275120.007,12.000
1786275120.070,13.000
1786275120.133,12.000
1786275120.196,13.000
1786275120.260,12.000
1786275120.322,13.000
1786275120.384,12.000
1786275120.446,13.000
1786275120.508,12.000
1786275120.572,13.000
1786275120.634,12.000
1786275120.696,13.000
1786275120.760,12.000
1786275120.822,13.000
1786275120.885,12.000
1786275120.948,13.000
1786275121.011,12.000
1786275121.075,13.000
1786275121.138,12.000
1786275121.202,13.000
1786275121.265,12.000
1786275121.327,13.000
1786275121.390,12.000
1786275121.454,13.000
1786275121.515,12.000
1786275121.577,13.000
1786275121.640,12.000
1786275121.703,13.000
1786275121.765,12.000
1786275121.828,13.000
1786275121.891,12.000
1786275121.953,13.000
1786275122.016,12.000
1786275122.077,13.000
1786275122.140,12.000
1786275122.203,13.000
1786275122.264,12.000
1786275122.325,13.000
1786275122.389,12.000
1786275122.451,13.000
1786275122.515,12.000
1786275122.577,13.000
1786275122.638,12.000
1786275122.700,13.000
1786275122.762,12.000
1786275122.825,13.000
1786275122.888,12.000
1786275122.950,13.000
1786275123.014,12.000
1786275123.077,13.000
1786275123.139,12.000
1786275123.201,13.000
1786275123.264,12.000
1786275123.326,13.000
1786275123.387,12.000
1786275123.449,13.000
1786275123.512,12.000
1786275123.574,13.000
1786275123.636,12.000
1786275123.698,13.000
1786275123.761,12.000
1786275123.824,13.000
1786275123.885,12.000
1786275123.949,13.000
1786275124.012,12.000
1786275124.075,13.000
1786275124.136,12.000
1786275124.199,13.000
1786275124.261,12.000
1786275124.325,13.000
