cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
38,37,13925,286630,5798,normal,5798,0.585166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255602,0.052200,1,1,0,248
39,38,14163,291886,5256,normal,5256,0.587096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228120,0.045866,1,1,0,247
40,39,14425,297654,5768,normal,5768,0.590431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.378019,0.083557,1,1,0,247
41,40,14663,302910,5256,normal,5256,0.593637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.953713,0.187002,1,1,0,246
42,41,14925,308678,5768,normal,5768,0.594421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990700,0.234775,1,1,0,247
43,42,15163,313934,5256,normal,5256,0.592623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.703774,0.157508,1,1,0,247
44,43,15425,319702,5768,normal,5768,0.588981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393156,0.068491,1,1,0,247
45,44,15663,324958,5256,normal,5256,0.586065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470337,0.084091,1,1,0,248
46,45,15924,330726,5768,normal,5768,0.585090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.947234,0.212606,1,1,0,247
47,46,16163,335982,5256,normal,5256,0.586852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000288,1.000000,0.283234,1,1,0,247
48,47,16424,341750,5768,normal,5768,0.590774,0.000000,0.000000,0.000000,0.000000,0.000000,0.488507,1.000000,0.130614,1,1,0,247
49,48,16663,347006,5256,normal,5256,0.593870,0.000000,0.000000,0.000000,0.000000,0.000000,0.401696,1.000000,0.163347,1,1,0,247
50,49,16924,352774,5768,normal,5768,0.594780,0.000000,0.000000,0.000000,0.000000,0.000000,0.216592,1.000000,0.238635,1,1,0,247
51,50,17163,358030,5256,normal,5256,0.593015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.879571,0.240856,1,1,0,248
52,51,17424,363798,5768,normal,5768,0.589062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550557,0.120897,1,1,0,247
53,52,17663,369054,5256,normal,5256,0.586280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.251393,0.056647,1,1,0,247
54,53,17924,374822,5768,normal,5768,0.585030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.282006,0.055909,1,1,0,247
55,54,18163,380078,5256,normal,5256,0.586926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254142,0.054244,1,1,0,247
56,55,18424,385846,5768,normal,5768,0.590317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388944,0.089034,1,1,0,247
57,56,18663,391102,5256,normal,5256,0.593533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.988181,0.191458,1,1,0,247
58,57,18924,396870,5768,normal,5768,0.594438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994964,0.238965,1,1,0,248
59,58,19163,402126,5256,normal,5256,0.592585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.582814,0.131950,1,1,0,247
60,59,19424,407894,5768,normal,5768,0.589089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334977,0.059694,1,1,0,248
61,60,19663,413150,5256,normal,5256,0.586085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.420102,0.079723,1,1,0,246
62,61,19924,418918,5768,normal,5768,0.585228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.772111,0.172219,1,1,0,247
63,62,20162,424174,5256,normal,5256,0.586861,0.000000,0.000000,0.000000,0.000000,0.000000,0.006473,1.000000,0.289799,1,1,0,247
