index,timestamp_ms,samples,cum_samples,cum_ms_by_samples,drift_ms,peak_int16
103,12750,2756,283868,25747.664399,-12997.664399,16373
104,12875,2756,286624,25997.641723,-13122.641723,16376
105,13000,2756,289380,26247.619048,-13247.619048,16376
106,13125,2756,292136,26497.596372,-13372.596372,16373
107,13250,2756,294892,26747.573696,-13497.573696,16351
108,13375,2756,297648,26997.551020,-13622.551020,16369
109,13500,2756,300404,27247.528345,-13747.528345,16369
110,13625,2756,303160,27497.505669,-13872.505669,16330
111,13750,2756,305916,27747.482993,-13997.482993,16373
112,13875,2756,308672,27997.460317,-14122.460317,16348
113,14000,2756,311428,28247.437642,-14247.437642,16353
114,14125,2756,314184,28497.414966,-14372.414966,16372
115,14250,2756,316940,28747.392290,-14497.392290,16358
116,14375,2756,319696,28997.369615,-14622.369615,16371
117,14500,2756,322452,29247.346939,-14747.346939,16371
118,14625,2756,325208,29497.324263,-14872.324263,16368
119,14750,2756,327964,29747.301587,-14997.301587,16371
120,14875,2756,330720,29997.278912,-15122.278912,16377
121,15000,2756,333476,30247.256236,-15247.256236,16377
122,15125,2756,336232,30497.233560,-15372.233560,16371
123,15250,2756,338988,30747.210884,-15497.210884,16368
124,15375,2756,341744,30997.188209,-15622.188209,16371
125,15500,2756,344500,31247.165533,-15747.165533,16371
126,15625,2756,347256,31497.142857,-15872.142857,16358
127,15750,2756,350012,31747.120181,-15997.120181,16372
128,15875,2756,352768,31997.097506,-16122.097506,16353
129,16000,2756,355524,32247.074830,-16247.074830,16348
130,16125,2756,358280,32497.052154,-16372.052154,16373
131,16250,2756,361036,32747.029478,-16497.029478,16330
132,16375,2756,363792,32997.006803,-16622.006803,16369
133,16500,2756,366548,33246.984127,-16746.984127,16369
134,16625,2756,369304,33496.961451,-16871.961451,16351
135,16750,2756,372060,33746.938776,-16996.938776,16373
136,16875,2756,374816,33996.916100,-17121.916100,16376
137,17000,2756,377572,34246.893424,-17246.893424,16376
138,17125,2756,380328,34496.870748,-17371.870748,16373
139,17250,2756,383084,34746.848073,-17496.848073,16351
140,17375,2756,385840,34996.825397,-17621.825397,16369
141,17500,2756,388596,35246.802721,-17746.802721,16369
142,17625,2756,391352,35496.780045,-17871.780045,16330
143,17750,2756,394108,35746.757370,-17996.757370,16373
144,17875,2756,396864,35996.734694,-18121.734694,16348
145,18000,2756,399620,36246.712018,-18246.712018,16353
146,18125,2756,402376,36496.689342,-18371.689342,16372
147,18250,2756,405132,36746.666667,-18496.666667,16358
148,18375,2756,407888,36996.643991,-18621.643991,16371
149,18500,2756,410644,37246.621315,-18746.621315,16371
150,18625,2756,413400,37496.598639,-18871.598639,16368
151,18750,2756,416156,37746.575964,-18996.575964,16371
152,18875,2756,418912,37996.553288,-19121.553288,16377
153,19000,2756,421668,38246.530612,-19246.530612,16377
154,19125,2756,424424,38496.507937,-19371.507937,16371
155,19250,2756,427180,38746.485261,-19496.485261,16368
156,19375,2756,429936,38996.462585,-19621.462585,16371
157,19500,2756,432692,39246.439909,-19746.439909,16371
158,19625,2756,435448,39496.417234,-19871.417234,16358
159,19750,2756,438204,39746.394558,-19996.394558,16372
160,19875,2756,440960,39996.371882,-20121.371882,16353
161,20000,2756,443716,40246.349206,-20246.349206,16348
162,20125,2756,446472,40496.326531,-20371.326531,16373
163,20250,2756,449228,40746.303855,-20496.303855,16330
164,20375,2756,451984,40996.281179,-20621.281179,16369
165,20500,2756,454740,41246.258503,-20746.258503,16369
166,20625,2756,457496,41496.235828,-20871.235828,16351
167,20750,2756,460252,41746.213152,-20996.213152,16373
168,20875,2756,463008,41996.190476,-21121.190476,16376
169,21000,2756,465764,42246.167800,-21246.167800,16376
170,21125,2756,468520,42496.145125,-21371.145125,16373
171,21250,2756,471276,42746.122449,-21496.122449,16351
172,21375,2756,474032,42996.099773,-21621.099773,16369
173,21500,2756,476788,43246.077098,-21746.077098,16369
174,21625,2756,479544,43496.054422,-21871.054422,16330
175,21750,2756,482300,43746.031746,-21996.031746,16373
176,21875,2756,485056,43996.009070,-22121.009070,16348
177,22000,2756,487812,44245.986395,-22245.986395,16353
178,22125,2756,490568,44495.963719,-22370.963719,16372
179,22250,2756,493324,44745.941043,-22495.941043,16358
180,22375,2756,496080,44995.918367,-22620.918367,16371
181,22500,2756,498836,45245.895692,-22745.895692,16371
182,22625,2756,501592,45495.873016,-22870.873016,16368
183,22750,2756,504348,45745.850340,-22995.850340,16371
184,22875,2756,507104,45995.827664,-23120.827664,16377
185,23000,2756,509860,46245.804989,-23245.804989,16377
186,23125,2756,512616,46495.782313,-23370.782313,16371
187,23250,2756,515372,46745.759637,-23495.759637,16368
188,23375,2756,518128,46995.736961,-23620.736961,16371
189,23500,2756,520884,47245.714286,-23745.714286,16371
190,23625,2756,523640,47495.691610,-23870.691610,16358
191,23750,2756,526396,47745.668934,-23995.668934,16372
192,23875,2756,529152,47995.646259,-24120.646259,16353
193,24000,2756,531908,48245.623583,-24245.623583,16348
194,24125,2756,534664,48495.600907,-24370.600907,16373
195,24250,2756,537420,48745.578231,-24495.578231,16330
196,24375,2756,540176,48995.555556,-24620.555556,16369
197,24500,2756,542932,49245.532880,-24745.532880,16369
198,24625,2756,545688,49495.510204,-24870.510204,16351
199,24750,2756,548444,49745.487528,-24995.487528,16373
200,24875,2756,551200,49995.464853,-25120.464853,16376
201,25000,2756,553956,50245.442177,-25245.442177,16376
202,25125,2756,556712,50495.419501,-25370.419501,16373
203,25250,2756,559468,50745.396825,-25495.396825,16351
204,25375,2756,562224,50995.374150,-25620.374150,16369
205,25500,2756,564980,51245.351474,-25745.351474,16369
206,25625,2756,567736,51495.328798,-25870.328798,16330
207,25750,2756,570492,51745.306122,-25995.306122,16373
208,25875,2756,573248,51995.283447,-26120.283447,16348
209,26000,2756,576004,52245.260771,-26245.260771,16353
210,26125,2756,578760,52495.238095,-26370.238095,16372
211,26250,2756,581516,52745.215420,-26495.215420,16358
212,26375,2756,584272,52995.192744,-26620.192744,16371
213,26500,2756,587028,53245.170068,-26745.170068,16371
214,26625,2756,589784,53495.147392,-26870.147392,16368
215,26750,2756,592540,53745.124717,-26995.124717,16371
216,26875,2756,595296,53995.102041,-27120.102041,16377
217,27000,2756,598052,54245.079365,-27245.079365,16377
218,27125,2756,600808,54495.056689,-27370.056689,16371
219,27250,2756,603564,54745.034014,-27495.034014,16368
220,27375,2756,606320,54995.011338,-27620.011338,16371
221,27500,2756,609076,55244.988662,-27744.988662,16371
222,27625,2756,611832,55494.965986,-27869.965986,16358
223,27750,2756,614588,55744.943311,-27994.943311,16372
224,27875,2756,617344,55994.920635,-28119.920635,16353
225,28000,2756,620100,56244.897959,-28244.897959,16348
226,28125,2756,622856,56494.875283,-28369.875283,16373
227,28250,2756,625612,56744.852608,-28494.852608,16330
228,28375,2756,628368,56994.829932,-28619.829932,16369
229,28500,2756,631124,57244.807256,-28744.807256,16369
230,28625,2756,633880,57494.784580,-28869.784580,16351
231,28750,2756,636636,57744.761905,-28994.761905,16373
232,28875,2756,639392,57994.739229,-29119.739229,16376
233,29000,2756,642148,58244.716553,-29244.716553,16376
234,29125,2756,644904,58494.693878,-29369.693878,16373
235,29250,2756,647660,58744.671202,-29494.671202,16351
236,29375,2756,650416,58994.648526,-29619.648526,16369
237,29500,2756,653172,59244.625850,-29744.625850,16369
238,29625,2756,655928,59494.603175,-29869.603175,16330
239,29750,2756,658684,59744.580499,-29994.580499,16373
240,29875,2756,661440,59994.557823,-30119.557823,16348
241,30000,2756,664196,60244.535147,-30244.535147,16353
242,30125,2756,666952,60494.512472,-30369.512472,16372
243,30250,2756,669708,60744.489796,-30494.489796,16358
244,30375,2756,672464,60994.467120,-30619.467120,16371
245,30500,2756,675220,61244.444444,-30744.444444,16371
246,30625,2756,677976,61494.421769,-30869.421769,16368
247,30750,2756,680732,61744.399093,-30994.399093,16371
248,30875,2756,683488,61994.376417,-31119.376417,16377
249,31000,2756,686244,62244.353741,-31244.353741,16377
250,31125,2756,689000,62494.331066,-31369.331066,16371
251,31250,2756,691756,62744.308390,-31494.308390,16368
252,31375,2756,694512,62994.285714,-31619.285714,16371
253,31500,2756,697268,63244.263039,-31744.263039,16371
254,31625,2756,700024,63494.240363,-31869.240363,16358
255,31750,2756,702780,63744.217687,-31994.217687,16372
256,31875,2756,705536,63994.195011,-32119.195011,16353
257,32000,2756,708292,64244.172336,-32244.172336,16348
258,32125,2756,711048,64494.149660,-32369.149660,16373
259,32250,2756,713804,64744.126984,-32494.126984,16330
260,32375,2756,716560,64994.104308,-32619.104308,16369
261,32500,2756,719316,65244.081633,-32744.081633,16369
262,32625,2756,722072,65494.058957,-32869.058957,16351
263,32750,2756,724828,65744.036281,-32994.036281,16373
264,32875,2756,727584,65994.013605,-33119.013605,16376
265,33000,2756,730340,66243.990930,-33243.990930,16376
266,33125,2756,733096,66493.968254,-33368.968254,16373
267,33250,2756,735852,66743.945578,-33493.945578,16351
268,33375,2756,738608,66993.922902,-33618.922902,16369
269,33500,2756,741364,67243.900227,-33743.900227,16369
270,33625,2756,744120,67493.877551,-33868.877551,16330
271,33750,2756,746876,67743.854875,-33993.854875,16373
272,33875,2756,749632,67993.832200,-34118.832200,16348
