cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
38,37,13290,272640,7936,normal,7936,0.591264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.712538,0.163957,0,0,0,148
39,38,13557,278528,5888,normal,5888,0.587377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269069,0.060697,0,0,0,151
40,39,13925,286630,8102,normal,8102,0.585166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.252105,0.051239,0,0,0,158
41,40,14288,294642,8012,normal,8012,0.588410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247298,0.050532,0,0,0,150
42,41,14561,300666,6024,normal,6024,0.592365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.675138,0.124567,0,0,0,153
43,42,14925,308678,8012,normal,8012,0.594421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.972996,0.215306,0,0,0,160
44,43,15288,316690,8012,normal,8012,0.591072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537843,0.112449,0,0,0,153
45,44,15561,322714,6024,normal,6024,0.587016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.319520,0.054521,0,0,0,153
46,45,15924,330726,8012,normal,8012,0.585090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.818217,0.183246,0,0,0,149
47,46,16299,338994,8268,normal,8268,0.588739,0.000000,0.000000,0.000000,0.000000,0.000000,0.379028,1.000000,0.177340,0,0,0,151
48,47,16561,344762,5768,normal,5768,0.592606,0.000000,0.000000,0.000000,0.000000,0.000000,0.469433,1.000000,0.152582,0,0,0,150
49,48,16924,352774,8012,normal,8012,0.594780,0.000000,0.000000,0.000000,0.000000,0.000000,0.250366,1.000000,0.214810,0,0,0,158
50,49,17299,361042,8268,normal,8268,0.591304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.739428,0.173231,0,0,0,149
51,50,17561,366810,5768,normal,5768,0.587216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263565,0.059743,0,0,0,153
52,51,17924,374822,8012,normal,8012,0.585030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.288703,0.057154,0,0,0,150
53,52,18299,383090,8268,normal,8268,0.588869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.269183,0.059632,0,0,0,149
54,53,18561,388858,5768,normal,5768,0.592255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.757238,0.137654,0,0,0,151
55,54,18924,396870,8012,normal,8012,0.594438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992207,0.228190,0,0,0,154
56,55,19299,405138,8268,normal,8268,0.590778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.439381,0.093728,0,0,0,154
57,56,19561,410906,5768,normal,5768,0.587153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258696,0.043552,0,0,0,147
58,57,19924,418918,8012,normal,8012,0.585228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.661850,0.147126,0,0,0,155
59,58,20287,426930,8012,normal,8012,0.588825,0.000000,0.000000,0.000000,0.000000,0.000000,0.308916,1.000000,0.197543,0,0,0,149
60,59,20561,432954,6024,normal,6024,0.592603,0.000000,0.000000,0.000000,0.000000,0.000000,0.469042,1.000000,0.144598,0,0,0,147
61,60,20924,440966,8012,normal,8012,0.594778,0.000000,0.000000,0.000000,0.000000,0.000000,0.261436,1.000000,0.206957,0,0,0,154
62,61,21287,448978,8012,normal,8012,0.591191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785979,0.190193,0,0,0,152
63,62,21561,455002,6024,normal,6024,0.587064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317446,0.068787,0,0,0,145
64,63,21924,463014,8012,normal,8012,0.585097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280654,0.055511,0,0,0,147
65,64,22287,471026,8012,normal,8012,0.588332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.257927,0.056380,0,0,0,149
66,65,22560,477050,6024,normal,6024,0.592152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692058,0.130394,0,0,0,146
67,66,22924,485062,8012,normal,8012,0.594438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.996463,0.240486,0,0,0,147
68,67,23287,493074,8012,normal,8012,0.591138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527404,0.117862,0,0,0,148
69,68,23560,499098,6024,normal,6024,0.587156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262500,0.047813,0,0,0,145
70,69,23924,507110,8012,normal,8012,0.585322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.565281,0.122963,0,0,0,147
71,70,24287,515122,8012,normal,8012,0.588803,0.000000,0.000000,0.000000,0.000000,0.000000,0.310393,1.000000,0.201145,0,0,0,148
