1786199085.817,12.000
1786199085.879,13.000
1786199085.943,12.000
1786199086.006,13.000
1786199086.068,12.000
1786199086.131,13.000
1786199086.193,12.000
1786199086.254,13.000
1786199086.317,12.000
1786199086.380,13.000
1786199086.442,12.000
1786199086.504,13.000
1786199086.567,12.000
1786199086.630,13.000
1786199086.692,12.000
1786199086.755,13.000
1786199086.817,12.000
1786199086.881,13.000
1786199086.942,12.000
1786199087.005,13.000
1786199087.067,12.000
1786199087.130,13.000
1786199087.193,12.000
1786199087.256,13.000
1786199087.320,12.000
1786199087.382,13.000
1786199087.445,12.000
1786199087.509,13.000
1786199087.572,12.000
1786199087.636,13.000
1786199087.700,12.000
1786199087.764,13.000
1786199087.825,12.000
1786199087.887,13.000
1786199087.949,12.000
1786199088.011,13.000
1786199088.075,12.000
1786199088.138,13.000
1786199088.201,12.000
1786199088.262,13.000
1786199088.324,12.000
1786199088.385,13.000
1786199088.447,12.000
1786199088.509,13.000
1786199088.570,12.000
1786199088.634,13.000
1786199088.698,12.000
1786199088.762,13.000
1786199088.826,12.000
1786199088.888,13.000
1786199088.952,12.000
1786199089.015,13.000
1786199089.078,28.000
1786199089.141,12.000
1786199089.204,13.000
1786199089.268,12.000
1786199089.332,13.000
1786199089.394,12.000
1786199089.456,13.000
1786199089.518,12.000
1786199089.581,13.000
1786199089.645,12.000
1786199089.709,13.000
1786199089.773,12.000
1786199089.836,13.000
1786199089.899,12.000
1786199089.962,13.000
1786199090.025,12.000
1786199090.086,13.000
1786199090.149,12.000
1786199090.210,13.000
1786199090.273,12.000
1786199090.335,13.000
1786199090.398,12.000
1786199090.460,13.000
1786199090.523,12.000
1786199090.587,13.000
1786199090.651,12.000
1786199090.713,13.000
1786199090.776,12.000
1786199090.839,13.000
1786199090.900,12.000
1786199090.961,13.000
1786199091.023,12.000
1786199091.086,13.000
1786199091.148,12.000
1786199091.210,13.000
1786199091.273,12.000
1786199091.336,13.000
1786199091.400,12.000
1786199091.462,13.000
1786199091.525,12.000
1786199091.589,13.000
1786199091.653,12.000
1786199091.716,13.000
1786199091.778,12.000
1786199091.842,13.000
1786199091.904,12.000
1786199091.966,13.000
1786199092.030,12.000
1786199092.092,13.000
1786199092.164,28.000
1786199092.226,12.000
1786199092.288,13.000
1786199092.350,12.000
1786199092.411,13.000
1786199092.475,12.000
1786199092.539,13.000
1786199092.602,12.000
1786199092.665,13.000
1786199092.729,12.000
1786199092.792,13.000
1786199092.855,12.000
1786199092.919,13.000
1786199092.982,12.000
1786199093.043,13.000
1786199093.105,12.000
1786199093.168,13.000
1786199093.229,12.000
1786199093.290,13.000
1786199093.352,12.000
1786199093.414,13.000
1786199093.478,12.000
1786199093.540,13.000
1786199093.601,12.000
1786199093.665,13.000
1786199093.728,12.000
1786199093.791,13.000
1786199093.854,12.000
1786199093.917,13.000
1786199093.980,12.000
1786199094.043,13.000
1786199094.106,12.000
1786199094.170,13.000
1786199094.234,12.000
1786199094.297,28.000
1786199094.360,13.000
1786199094.424,12.000
1786199094.486,13.000
1786199094.550,12.000
1786199094.614,13.000
1786199094.678,12.000
1786199094.748,13.000
1786199094.800,12.000
1786199094.863,13.000
1786199094.927,12.000
1786199094.989,13.000
1786199095.052,12.000
